player_id,draw,court,serve_period,x,y,ev
1,29,Deuce,1,5,3.4000000000000004,0.19671992874726962
1,29,Deuce,2,4.800000000000001,2.8,-0.08501227315600446
1,29,Deuce,2,4.7,1.5000000000000002,-0.09367440866861909
1,29,Ad,1,4.9,-3.4,0.08333971084332809
1,29,Ad,1,5.1,-1,0.044125062549430716
1,29,Ad,2,5.1,-1.2999999999999998,-0.22800859142028773
1,30,Deuce,1,5.2,3.6000000000000005,0.2772962543039292
1,30,Deuce,2,4.800000000000001,3,-0.02013025388850087
1,30,Ad,1,4.800000000000001,-3.6,0.20649176362114863
1,30,Ad,1,5.1,-0.5999999999999996,0.15732752487697305
1,30,Ad,2,4.9,-1.0999999999999996,-0.030275865129787194
1,30,Ad,2,5.1,-2.9,-0.11516451938276784
1,31,Deuce,1,5.2,3.4000000000000004,0.14708920703089584
1,31,Deuce,2,5.2,1.0000000000000002,-0.2649620204812123
1,31,Ad,1,4.800000000000001,-3.5,0.16409588461458025
1,31,Ad,1,5.1,-0.7999999999999998,0.09966260015269474
1,31,Ad,2,5,-1.2000000000000002,-0.15961822702559425
1,32,Deuce,1,5.1,3.3,0.11402544921573804
1,32,Deuce,2,5.1,1.9000000000000001,-0.2215031790504811
1,32,Ad,1,4.9,-3.3,0.09243357446899364
1,32,Ad,2,5.1,-1.5999999999999996,-0.19179315863269908
1,33,Deuce,1,5.2,3.4000000000000004,0.16785590428860575
1,33,Deuce,2,4.7,2.9000000000000004,-0.18031302286082818
1,33,Ad,1,4.800000000000001,-3.3,0.10157467513157054
1,33,Ad,1,5.1,-0.8999999999999995,0.08356424573791185
1,33,Ad,2,4.800000000000001,-1.4000000000000004,-0.11033985861884543
1,34,Deuce,1,5.2,3.5,0.19219282021261702
1,34,Deuce,2,5,3,-0.1405188649261192
1,34,Ad,1,4.9,-3.5,0.1452845730651195
1,34,Ad,1,5.1,-0.7999999999999998,0.09338748292819643
1,34,Ad,2,5.1,-1.7000000000000002,-0.16468646735887527
1,35,Deuce,1,5.2,3.4000000000000004,0.22287686617557995
1,35,Deuce,2,5.1,2.7,-0.12178891808454473
1,35,Deuce,2,5,1.5000000000000002,-0.1253640522246744
1,35,Ad,1,4.9,-3.4,0.1656374402292305
1,35,Ad,1,5.1,-0.7999999999999998,0.1312143184164338
1,35,Ad,2,5,-1.4000000000000004,-0.07956282212136623
1,36,Deuce,1,5,3.3,0.08117612312723199
1,36,Deuce,2,5.4,1.3,-0.38398171839974393
1,36,Ad,1,4.800000000000001,-3.6,0.2149927444258235
1,36,Ad,1,5.1,-0.5999999999999996,0.15915413051965865
1,36,Ad,2,4.4,-3.1,0.03455464615521109
1,37,Deuce,1,5,3.4000000000000004,0.15821605355751062
1,37,Deuce,2,5.1,3,-0.23023418239867632
1,37,Ad,1,4.800000000000001,-3.4,0.08118054447187145
1,37,Ad,1,5.1,-1.0999999999999996,0.010486102687745746
1,37,Ad,2,5.2,-3,-0.29357698860940373
1,38,Deuce,1,5.2,3.5,0.24464685800690633
1,38,Deuce,1,5.1,1.0000000000000002,0.12656828736989084
1,38,Deuce,2,4.9,3.2,-0.05343788665238847
1,38,Ad,1,4.800000000000001,-3.5,0.17168196749960435
1,38,Ad,1,5.1,-0.7999999999999998,0.11325558558404625
1,38,Ad,2,5.2,-3.2,-0.151974314557218
1,39,Deuce,1,5.2,3.3,0.04971270118391019
1,39,Deuce,2,5.2,2.7,-0.28692445820652424
1,39,Ad,1,4.4,-3.4,0.16742571313893462
1,39,Ad,1,5.1,-0.8999999999999995,0.08319798571982787
1,39,Ad,2,4.7,-1.5999999999999996,-0.13088177026335357
1,40,Deuce,1,5.2,3.6000000000000005,0.18046670518561786
1,40,Deuce,2,5.1,2.8,-0.1856933862328245
1,40,Ad,1,4.800000000000001,-3.3,0.12713714991942437
1,40,Ad,1,5,-0.8999999999999995,0.09241392575777735
1,40,Ad,2,5.1,-2.9,-0.1750848812881044
1,41,Deuce,1,5.2,3.5,0.21625578174312016
1,41,Deuce,2,4.800000000000001,2.1000000000000005,-0.04856065023577272
1,41,Ad,1,4.800000000000001,-3.4,0.14000923967974266
1,41,Ad,1,5.1,-1.0999999999999996,0.0922117417710368
1,41,Ad,2,5,-1.5999999999999996,-0.16623415683966736
1,42,Deuce,1,5.1,3.5,0.17292344500496526
1,42,Deuce,1,5.2,1.3,0.04807469666799974
1,42,Deuce,2,5.300000000000001,3.2,-0.23801112776146782
1,42,Ad,1,4.7,-3.5,0.1674204121769452
1,42,Ad,1,5.1,-0.7999999999999998,0.10030891829817079
1,42,Ad,2,5,-1.0999999999999996,-0.17193777179528347
1,42,Ad,2,5.1,-2.9,-0.18196203583714987
1,43,Deuce,1,5.2,3.5,0.1941473270042584
1,43,Deuce,2,5,3,-0.14638683023349608
1,43,Ad,1,4.9,-3.4,0.11633066145129883
1,43,Ad,1,5,-0.8999999999999995,0.08661772247851293
1,43,Ad,2,5,-3,-0.16315738343137054
1,44,Deuce,1,5.2,3.4000000000000004,0.1394051723404166
1,44,Deuce,2,5.1,1.3,-0.25078359932782834
1,44,Ad,1,4.9,-3.4,0.10703835242247012
1,44,Ad,1,4.9,-1,0.07430263900283746
